id,address,bedroom_nums,bathroom_nums,car_spaces,price,lat,lon,postcode,land_size_m2,price_per_m2,nearest_city,distance_to_nearest_city,avg_price_by_postcode,postcode_avg_price_per_m2
1806,"20 San Cristobal Drive, Green Valley",4.0,2,2.0,1375000.0,-33.8971398,150.8618973,2168.0,382.0,3599.476439790576,Sydney,1214.917802313323,1200914.4736842106,2207.945327240935
1807,"3 Raspberry Crescent, Schofields",3.0,2,1.0,1260000.0,-33.6977947,150.8848321,2762.0,306.0,4117.64705882353,Sydney,1345.2223075850034,1388635.914893617,3751.575787387999
1808,"62 Tamarind Drive, Acacia Gardens",4.0,2,2.0,1250000.0,-33.7318516,150.9166294,2763.0,339.0,3687.3156342182892,Sydney,1044.1094436692513,1279882.9787234042,2870.176781308772
1809,"21 Cresswick Walk, Moorebank",3.0,2,2.0,1202000.0,-33.9435158,150.9561071,2170.0,263.0,4570.342205323194,Sydney,696.8909538005815,1385365.5913978494,2826.032895077948
1810,"66 Condoin Lane, Pemulwuy",3.0,2,2.0,1036000.0,-33.8192151,150.9297037,2145.0,209.0,4956.937799043062,Sydney,806.3275328170472,1601441.282352941,3182.6549325274864
1811,"20 Brahman Street, Oran Park",4.0,2,2.0,1025000.0,-33.9962762,150.7488054,2570.0,204.0,5024.509803921569,Wollongong,2070.3372155559923,1233320.2614379085,2452.919945362968
1812,"40 Hyacinth Avenue, Macquarie Fields",3.0,1,1.0,887000.0,-33.997722,150.897042,2564.0,357.0,2484.593837535014,Sydney,1141.2594064800958,999357.1428571428,2044.995666963585
1813,"2/27 Leonard Avenue, Shoal Bay",3.0,2,2.0,865000.0,-32.7242737,152.1759079,2315.0,311.0,2781.3504823151125,Newcastle,1985.9167959410402,1347965.5172413792,2172.391081983712
1814,"18 Bibby Street, Hamilton",2.0,2,2.0,760000.0,-32.919253,151.741773,2303.0,202.3,3756.7968363816112,Newcastle,14.338719379998478,1633941.1764705882,4049.0620839146577
1815,"1/38 Tuggerawong Road, Wyongah",3.0,2,1.0,750000.0,-33.2667635,151.4913355,2259.0,235.0,3191.4893617021276,Newcastle,1983.365256925056,1013668.5769230769,1531.9240568829864
1816,"3 Whipbird Grove, Port Macquarie",4.0,2,2.0,750000.0,-31.4699507,152.868408,2444.0,390.6,1920.1228878648233,Newcastle,33091.46205114475,972872.340425532,1686.345804063777
1817,"73a Albion Street, Annandale",3.0,1,2.0,2200000.0,-33.8872592,151.1629878,2038.0,207.0,10628.019323671497,Sydney,24.85561933481652,3727500.0,10573.090325169876
1818,"12 Curlew Avenue, Newington",4.0,2,2.0,2088500.0,-33.834317,151.060979,2127.0,290.0,7201.724137931034,Sydney,231.8819633000305,2028916.6666666667,6837.407990069252
